ID,Pred
2018_1104_1112,0.27193254910318926
2018_1104_1113,0.4862179600236369
2018_1104_1116,0.40141359623480627
2018_1104_1120,0.27552655464119
2018_1104_1137,0.6026583002329157
2018_1104_1138,0.5862962767073653
2018_1104_1139,0.463280973915009
2018_1104_1153,0.1443861956398795
2018_1104_1155,0.34709118798397687
2018_1104_1158,0.688879145670137
2018_1104_1166,0.3701807884965775
2018_1104_1168,0.7725051504048738
2018_1104_1172,0.5136636922682999
2018_1104_1181,0.14529960569684386
2018_1104_1196,0.3483897435606031
2018_1104_1199,0.4410450539250646
2018_1104_1209,0.6801262752085353
2018_1104_1211,0.16870529234310844
2018_1104_1222,0.2866066140216914
2018_1104_1233,0.687869268161176
2018_1104_1242,0.18407482860906432
2018_1104_1243,0.5173410393452149
2018_1104_1246,0.33927344637322066
2018_1104_1252,0.7658310173980721
2018_1104_1254,0.7571662142440894
2018_1104_1260,0.5643711028131597
2018_1104_1267,0.6425830132395498
2018_1104_1274,0.4113914052992961
2018_1104_1276,0.2494700152874364
2018_1104_1277,0.17882853610444407
2018_1104_1281,0.4534673756783583
2018_1104_1285,0.6378239530780097
2018_1104_1293,0.5791906387081743
2018_1104_1300,0.7764038201489711
2018_1104_1301,0.4497012901621779
2018_1104_1305,0.34564596392144653
2018_1104_1308,0.5826377695033317
2018_1104_1314,0.19879287896273692
2018_1104_1326,0.322322705663939
2018_1104_1328,0.52102877426357
2018_1104_1335,0.7465042857072269
2018_1104_1344,0.600301096656352
2018_1104_1345,0.14488858375094343
2018_1104_1347,0.7778890817283823
2018_1104_1348,0.4185707760190135
2018_1104_1355,0.6177559279628216
2018_1104_1361,0.5049169453242359
2018_1104_1371,0.44430647281031416
2018_1104_1372,0.6500688953444
2018_1104_1382,0.5837041693908479
2018_1104_1393,0.600225737804674
2018_1104_1395,0.34072017962200724
2018_1104_1397,0.2866351354043026
2018_1104_1400,0.5307438410109199
2018_1104_1401,0.41435289076266113
2018_1104_1403,0.2240986374584527
2018_1104_1411,0.7604549123904267
2018_1104_1417,0.5439576168957673
2018_1104_1420,0.8001355687102907
2018_1104_1422,0.6259208149681451
2018_1104_1437,0.12865605371168662
2018_1104_1438,0.20213323334936886
2018_1104_1439,0.39150669239461666
2018_1104_1452,0.2492413842614936
2018_1104_1455,0.24759880290990982
2018_1104_1460,0.6990786340850996
2018_1104_1462,0.21788089446730136
2018_1112_1113,0.7228037511825239
2018_1112_1116,0.6488471485665793
2018_1112_1120,0.5116961269333758
2018_1112_1137,0.8069181267059002
2018_1112_1138,0.7961217820204336
2018_1112_1139,0.7039987989347481
2018_1112_1153,0.31739412486605983
2018_1112_1155,0.5942840698532201
2018_1112_1158,0.8591730537331846
2018_1112_1166,0.618246665288861
2018_1112_1168,0.9034417530841241
2018_1112_1172,0.7442587417224283
2018_1112_1181,0.3189939630442936
2018_1112_1196,0.5956637100930849
2018_1112_1199,0.6849538445537335
2018_1112_1209,0.8541971074459496
2018_1112_1211,0.3586388383641323
2018_1112_1222,0.5253860858157147
2018_1112_1233,0.8586024802673972
2018_1112_1242,0.38333275217756413
2018_1112_1243,0.7470511062208263
2018_1112_1246,0.5858948675855208
2018_1112_1252,0.9001122732242366
2018_1112_1254,0.8957397504316557
2018_1112_1260,0.7811662066907581
2018_1112_1267,0.8320389326628994
2018_1112_1274,0.6582123112747862
2018_1112_1276,0.47804244846372385
2018_1112_1277,0.3750176434674997
2018_1112_1281,0.6956955523411614
2018_1112_1285,0.8291317164289962
2018_1112_1293,0.7913374132939363
2018_1112_1300,0.9053713800040425
2018_1112_1301,0.6924666336864805
2018_1112_1305,0.5927440001029731
2018_1112_1308,0.793665804719151
2018_1112_1314,0.4060540901737968
2018_1112_1326,0.5671999807562214
2018_1112_1328,0.7498324497286927
2018_1112_1335,0.8902804130990892
2018_1112_1344,0.8053813637294046
2018_1112_1345,0.3182745640387537
2018_1112_1347,0.9061035656959316
2018_1112_1348,0.6648338729823342
2018_1112_1355,0.8166162379343425
2018_1112_1361,0.7375401785622382
2018_1112_1371,0.6877995056824134
2018_1112_1372,0.836566003028228
2018_1112_1382,0.7943832940728812
2018_1112_1393,0.8053321318796434
2018_1112_1395,0.5874582183945385
2018_1112_1397,0.5254208682405599
2018_1112_1400,0.7570704513062614
2018_1112_1401,0.6609554085509295
2018_1112_1403,0.4431506492684935
2018_1112_1411,0.8974060350269094
2018_1112_1417,0.7667123979084157
2018_1112_1420,0.9168803633223229
2018_1112_1422,0.821758987381148
2018_1112_1437,0.28918613605702215
2018_1112_1438,0.4110901864770721
2018_1112_1439,0.6393561705047994
2018_1112_1452,0.47773767886491886
2018_1112_1455,0.47554307279166286
2018_1112_1460,0.8648847782536658
2018_1112_1462,0.43425676622276554
2018_1113_1116,0.42171869468394413
2018_1113_1120,0.2925762631353031
2018_1113_1137,0.6225557677391725
2018_1113_1138,0.6064780784219321
